Level,Description,SeriesRefSNDQ,Quarter,Weight, Amount 
Industry groups,Other services,SG01RSC04B01RS2,2013Q2,0.0179801,939.275
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2013Q2,0.0824732,3839.047
Industry groups,Agriculture,SG01RSC04B01AA1,2013Q3,0.0563186,2261.414
Industry groups,Forestry and logging,SG01RSC04B01AA2,2013Q3,0.0061824,370.053
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2013Q3,0.0078348,437.247
Industry groups,Mining,SG01RSC04B01BB1,2013Q3,0.0153729,764.37
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2013Q3,0.0365711,1780.529
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2013Q3,0.0026796,167.27
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2013Q3,0.0079546,494.005
Industry groups,Printing,SG01RSC04B01CC4,2013Q3,0.0029598,151.723
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2013Q3,0.0179993,912.558
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2013Q3,0.0045687,247.624
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2013Q3,0.0107763,596.197
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2013Q3,0.0161896,896.45
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2013Q3,0.0026585,151.007
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2013Q3,0.0318884,1546.754
Industry groups,Construction,SG01RSC04B01EE1,2013Q3,0.0532595,2803.899
Industry groups,Wholesale trade,SG01RSC04B01FF1,2013Q3,0.0497937,2800.02
Industry groups,Retail trade,SG01RSC04B01GH1,2013Q3,0.0429011,2383.824
Industry groups,Accommodation services,SG01RSC04B01GH2,2013Q3,0.0187718,1042.673
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2013Q3,0.0444671,2230.169
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2013Q3,0.0277247,1853.602
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2013Q3,0.0526883,3050.23
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2013Q3,0.0692747,3727.84
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2013Q3,0.0693612,3536.177
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2013Q3,0.0763031,4173.865
Industry groups,Administrative and support services,SG01RSC04B01MN2,2013Q3,0.0183975,1013.326
Industry groups,Local Government administration,SG01RSC04B01OO1,2013Q3,0.0046934,272.811
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2013Q3,0.0356809,2019.209
Industry groups,Education and training,SG01RSC04B01PP1,2013Q3,0.0451188,2299.584
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2013Q3,0.0578783,3172.022
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2013Q3,0.013278,708.335
Industry groups,Other services,SG01RSC04B01RS2,2013Q3,0.0179801,942.497
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2013Q3,0.0824732,3865.473
Industry groups,Agriculture,SG01RSC04B01AA1,2013Q4,0.0563186,2195.128
Industry groups,Forestry and logging,SG01RSC04B01AA2,2013Q4,0.0061824,360.646
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2013Q4,0.0078348,455.631
Industry groups,Mining,SG01RSC04B01BB1,2013Q4,0.0153729,793.646
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2013Q4,0.0365711,1763.613
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2013Q4,0.0026796,166.325
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2013Q4,0.0079546,486.452
Industry groups,Printing,SG01RSC04B01CC4,2013Q4,0.0029598,160.245
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2013Q4,0.0179993,893.06
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2013Q4,0.0045687,259.582
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2013Q4,0.0107763,597.876
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2013Q4,0.0161896,939.216
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2013Q4,0.0026585,152.988
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2013Q4,0.0318884,1589.037
Industry groups,Construction,SG01RSC04B01EE1,2013Q4,0.0532595,2829.977
Industry groups,Wholesale trade,SG01RSC04B01FF1,2013Q4,0.0497937,2854.955
Industry groups,Retail trade,SG01RSC04B01GH1,2013Q4,0.0429011,2401.153
Industry groups,Accommodation services,SG01RSC04B01GH2,2013Q4,0.0187718,1033.784
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2013Q4,0.0444671,2272.783
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2013Q4,0.0277247,1863.203
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2013Q4,0.0526883,3060.872
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2013Q4,0.0692747,3693.898
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2013Q4,0.0693612,3577.027
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2013Q4,0.0763031,4199.055
Industry groups,Administrative and support services,SG01RSC04B01MN2,2013Q4,0.0183975,1017.841
Industry groups,Local Government administration,SG01RSC04B01OO1,2013Q4,0.0046934,276.676
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2013Q4,0.0356809,2017.467
Industry groups,Education and training,SG01RSC04B01PP1,2013Q4,0.0451188,2297.756
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2013Q4,0.0578783,3197.697
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2013Q4,0.013278,684.635
Industry groups,Other services,SG01RSC04B01RS2,2013Q4,0.0179801,947.524
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2013Q4,0.0824732,3888.419
Industry groups,Agriculture,SG01RSC04B01AA1,2014Q1,0.0563186,2245.209
Industry groups,Forestry and logging,SG01RSC04B01AA2,2014Q1,0.0061824,359.164
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2014Q1,0.0078348,462.215
Industry groups,Mining,SG01RSC04B01BB1,2014Q1,0.0153729,906.268
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2014Q1,0.0365711,1790.433
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2014Q1,0.0026796,163
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2014Q1,0.0079546,476.415
Industry groups,Printing,SG01RSC04B01CC4,2014Q1,0.0029598,161.26
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2014Q1,0.0179993,916.774
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2014Q1,0.0045687,271.82
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2014Q1,0.0107763,618.006
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2014Q1,0.0161896,926.049
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2014Q1,0.0026585,155.65
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2014Q1,0.0318884,1589.002
Industry groups,Construction,SG01RSC04B01EE1,2014Q1,0.0532595,2987.688
Industry groups,Wholesale trade,SG01RSC04B01FF1,2014Q1,0.0497937,2850.669
Industry groups,Retail trade,SG01RSC04B01GH1,2014Q1,0.0429011,2415.601
Industry groups,Accommodation services,SG01RSC04B01GH2,2014Q1,0.0187718,1051.103
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2014Q1,0.0444671,2314.149
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2014Q1,0.0277247,1909.499
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2014Q1,0.0526883,3056.629
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2014Q1,0.0692747,3674.978
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2014Q1,0.0693612,3618.868
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2014Q1,0.0763031,4244.516
Industry groups,Administrative and support services,SG01RSC04B01MN2,2014Q1,0.0183975,1020.472
Industry groups,Local Government administration,SG01RSC04B01OO1,2014Q1,0.0046934,275.945
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2014Q1,0.0356809,2026.378
Industry groups,Education and training,SG01RSC04B01PP1,2014Q1,0.0451188,2299.174
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2014Q1,0.0578783,3200.235
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2014Q1,0.013278,700.104
Industry groups,Other services,SG01RSC04B01RS2,2014Q1,0.0179801,976.951
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2014Q1,0.0824732,3925.854
Industry groups,Agriculture,SG01RSC04B01AA1,2014Q2,0.0339522,2226.585
Industry groups,Forestry and logging,SG01RSC04B01AA2,2014Q2,0.005333,359.517
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2014Q2,0.0084825,460.089
Industry groups,Mining,SG01RSC04B01BB1,2014Q2,0.0147676,871.003
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2014Q2,0.0432925,1814.44
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2014Q2,0.0027093,170.3
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2014Q2,0.0075734,477.483
Industry groups,Printing,SG01RSC04B01CC4,2014Q2,0.0028568,164.556
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2014Q2,0.0192641,906.527
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2014Q2,0.0045107,264.614
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2014Q2,0.0111124,614.735
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2014Q2,0.0167488,954.603
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2014Q2,0.002643,153.802
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2014Q2,0.0312954,1587.33
Industry groups,Construction,SG01RSC04B01EE1,2014Q2,0.0570034,3069.997
Industry groups,Wholesale trade,SG01RSC04B01FF1,2014Q2,0.0514525,2918.023
Industry groups,Retail trade,SG01RSC04B01GH1,2014Q2,0.0432313,2442.851
Industry groups,Accommodation services,SG01RSC04B01GH2,2014Q2,0.0197149,1087.042
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2014Q2,0.0470571,2391.913
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2014Q2,0.0270997,1915.303
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2014Q2,0.0556906,3082.729
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2014Q2,0.0681054,3629.595
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2014Q2,0.0706629,3660.373
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2014Q2,0.0765243,4286.767
Industry groups,Administrative and support services,SG01RSC04B01MN2,2014Q2,0.0187693,1093.009
Industry groups,Local Government administration,SG01RSC04B01OO1,2014Q2,0.0047645,280.465
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2014Q2,0.0357203,2060.224
Industry groups,Education and training,SG01RSC04B01PP1,2014Q2,0.0453205,2303.904
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2014Q2,0.058776,3226.925
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2014Q2,0.0136767,712.259
Industry groups,Other services,SG01RSC04B01RS2,2014Q2,0.0187763,989.479
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2014Q2,0.0831125,3964.71
Industry groups,Agriculture,SG01RSC04B01AA1,2014Q3,0.0339522,2321.903
Industry groups,Forestry and logging,SG01RSC04B01AA2,2014Q3,0.005333,343.443
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2014Q3,0.0084825,459.801
Industry groups,Mining,SG01RSC04B01BB1,2014Q3,0.0147676,908.547
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2014Q3,0.0432925,1748.575
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2014Q3,0.0027093,174.965
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2014Q3,0.0075734,499.977
Industry groups,Printing,SG01RSC04B01CC4,2014Q3,0.0028568,157.458
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2014Q3,0.0192641,894.527
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2014Q3,0.0045107,277.257
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2014Q3,0.0111124,636.86
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2014Q3,0.0167488,978.738
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2014Q3,0.002643,149.51
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2014Q3,0.0312954,1620.202
Industry groups,Construction,SG01RSC04B01EE1,2014Q3,0.0570034,3138.965
Industry groups,Wholesale trade,SG01RSC04B01FF1,2014Q3,0.0514525,2889.862
Industry groups,Retail trade,SG01RSC04B01GH1,2014Q3,0.0432313,2489.581
Industry groups,Accommodation services,SG01RSC04B01GH2,2014Q3,0.0197149,1106.389
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2014Q3,0.0470571,2362.474
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2014Q3,0.0270997,1983.336
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2014Q3,0.0556906,3101.817
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2014Q3,0.0681054,3629.57
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2014Q3,0.0706629,3702.533
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2014Q3,0.0765243,4288.865
Industry groups,Administrative and support services,SG01RSC04B01MN2,2014Q3,0.0187693,1026.387
Industry groups,Local Government administration,SG01RSC04B01OO1,2014Q3,0.0047645,284.758
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2014Q3,0.0357203,2077.514
Industry groups,Education and training,SG01RSC04B01PP1,2014Q3,0.0453205,2308.697
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2014Q3,0.058776,3282.19
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2014Q3,0.0136767,727.795
Industry groups,Other services,SG01RSC04B01RS2,2014Q3,0.0187763,992.271
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2014Q3,0.0831125,4051.013
Industry groups,Agriculture,SG01RSC04B01AA1,2014Q4,0.0339522,2358.832
Industry groups,Forestry and logging,SG01RSC04B01AA2,2014Q4,0.005333,360.268
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2014Q4,0.0084825,470.545
Industry groups,Mining,SG01RSC04B01BB1,2014Q4,0.0147676,884.902
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2014Q4,0.0432925,1782.494
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2014Q4,0.0027093,164.966
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2014Q4,0.0075734,478.92
Industry groups,Printing,SG01RSC04B01CC4,2014Q4,0.0028568,164.897
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2014Q4,0.0192641,921.123
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2014Q4,0.0045107,272.024
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2014Q4,0.0111124,633.072
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2014Q4,0.0167488,990.966
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2014Q4,0.002643,152.408
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2014Q4,0.0312954,1622.503
Industry groups,Construction,SG01RSC04B01EE1,2014Q4,0.0570034,3070.922
Industry groups,Wholesale trade,SG01RSC04B01FF1,2014Q4,0.0514525,2904.065
Industry groups,Retail trade,SG01RSC04B01GH1,2014Q4,0.0432313,2536.024
Industry groups,Accommodation services,SG01RSC04B01GH2,2014Q4,0.0197149,1141.33
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2014Q4,0.0470571,2421.724
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2014Q4,0.0270997,2044.52
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2014Q4,0.0556906,3168.512
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2014Q4,0.0681054,3692.978
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2014Q4,0.0706629,3742.25
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2014Q4,0.0765243,4345.553
Industry groups,Administrative and support services,SG01RSC04B01MN2,2014Q4,0.0187693,1048.436
Industry groups,Local Government administration,SG01RSC04B01OO1,2014Q4,0.0047645,287.056
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2014Q4,0.0357203,2109.038
Industry groups,Education and training,SG01RSC04B01PP1,2014Q4,0.0453205,2313.556
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2014Q4,0.058776,3280.953
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2014Q4,0.0136767,737.854
Industry groups,Other services,SG01RSC04B01RS2,2014Q4,0.0187763,1004.073
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2014Q4,0.0831125,4073.984
Industry groups,Agriculture,SG01RSC04B01AA1,2015Q1,0.0339522,2326.56
Industry groups,Forestry and logging,SG01RSC04B01AA2,2015Q1,0.005333,369.14
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2015Q1,0.0084825,471.505
Industry groups,Mining,SG01RSC04B01BB1,2015Q1,0.0147676,821.633
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2015Q1,0.0432925,1785.256
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2015Q1,0.0027093,166.144
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2015Q1,0.0075734,490.199
Industry groups,Printing,SG01RSC04B01CC4,2015Q1,0.0028568,155.987
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2015Q1,0.0192641,934.224
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2015Q1,0.0045107,279.328
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2015Q1,0.0111124,637.788
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2015Q1,0.0167488,954.279
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2015Q1,0.002643,156.787
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2015Q1,0.0312954,1631.436
Industry groups,Construction,SG01RSC04B01EE1,2015Q1,0.0570034,3183.558
Industry groups,Wholesale trade,SG01RSC04B01FF1,2015Q1,0.0514525,2857.428
Industry groups,Retail trade,SG01RSC04B01GH1,2015Q1,0.0432313,2573.129
Industry groups,Accommodation services,SG01RSC04B01GH2,2015Q1,0.0197149,1163.092
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2015Q1,0.0470571,2494.863
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2015Q1,0.0270997,2056.841
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2015Q1,0.0556906,3153.693
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2015Q1,0.0681054,3747.661
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2015Q1,0.0706629,3782.97
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2015Q1,0.0765243,4352.654
Industry groups,Administrative and support services,SG01RSC04B01MN2,2015Q1,0.0187693,1099.948
Industry groups,Local Government administration,SG01RSC04B01OO1,2015Q1,0.0047645,282.614
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2015Q1,0.0357203,2096.119
Industry groups,Education and training,SG01RSC04B01PP1,2015Q1,0.0453205,2318.481
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2015Q1,0.058776,3273.216
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2015Q1,0.0136767,767.877
Industry groups,Other services,SG01RSC04B01RS2,2015Q1,0.0187763,1016.228
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2015Q1,0.0831125,4137.777
Industry groups,Agriculture,SG01RSC04B01AA1,2015Q2,0.030119,2352.082
Industry groups,Forestry and logging,SG01RSC04B01AA2,2015Q2,0.0061088,340.547
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2015Q2,0.0084844,486.046
Industry groups,Mining,SG01RSC04B01BB1,2015Q2,0.0093126,888.131
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2015Q2,0.04377,1730.277
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2015Q2,0.0026222,164.266
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2015Q2,0.0082438,501.144
Industry groups,Printing,SG01RSC04B01CC4,2015Q2,0.0025602,149.233
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2015Q2,0.0207056,932.264
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2015Q2,0.0043593,274.636
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2015Q2,0.0107809,646.705
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2015Q2,0.0170304,965.295
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2015Q2,0.0026267,148.77
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2015Q2,0.0300421,1666.876
Industry groups,Construction,SG01RSC04B01EE1,2015Q2,0.0593621,3237.542
Industry groups,Wholesale trade,SG01RSC04B01FF1,2015Q2,0.050257,2838.375
Industry groups,Retail trade,SG01RSC04B01GH1,2015Q2,0.0433872,2588.473
Industry groups,Accommodation services,SG01RSC04B01GH2,2015Q2,0.0207315,1149.352
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2015Q2,0.0485844,2479.759
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2015Q2,0.0264993,2154.974
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2015Q2,0.054681,3158.716
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2015Q2,0.0708724,3788.721
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2015Q2,0.0709097,3822.963
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2015Q2,0.078029,4396.148
Industry groups,Administrative and support services,SG01RSC04B01MN2,2015Q2,0.0191326,1137.616
Industry groups,Local Government administration,SG01RSC04B01OO1,2015Q2,0.0047115,290.312
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2015Q2,0.0357092,2116.938
Industry groups,Education and training,SG01RSC04B01PP1,2015Q2,0.0447673,2323.885
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2015Q2,0.0593375,3301.599
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2015Q2,0.0136869,762.002
Industry groups,Other services,SG01RSC04B01RS2,2015Q2,0.0184459,968.113
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2015Q2,0.0841293,4172.336
Industry groups,Agriculture,SG01RSC04B01AA1,2015Q3,0.030119,2389.835
Industry groups,Forestry and logging,SG01RSC04B01AA2,2015Q3,0.0061088,333.878
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2015Q3,0.0084844,470.084
Industry groups,Mining,SG01RSC04B01BB1,2015Q3,0.0093126,865.997
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2015Q3,0.04377,1843.073
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2015Q3,0.0026222,158.839
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2015Q3,0.0082438,499.591
Industry groups,Printing,SG01RSC04B01CC4,2015Q3,0.0025602,150.35
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2015Q3,0.0207056,906.688
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2015Q3,0.0043593,272.254
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2015Q3,0.0107809,651.108
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2015Q3,0.0170304,982.362
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2015Q3,0.0026267,162.199
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2015Q3,0.0300421,1679.12
Industry groups,Construction,SG01RSC04B01EE1,2015Q3,0.0593621,3278.259
Industry groups,Wholesale trade,SG01RSC04B01FF1,2015Q3,0.050257,2880.907
Industry groups,Retail trade,SG01RSC04B01GH1,2015Q3,0.0433872,2635.22
Industry groups,Accommodation services,SG01RSC04B01GH2,2015Q3,0.0207315,1173.966
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2015Q3,0.0485844,2530.265
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2015Q3,0.0264993,2155.505
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2015Q3,0.054681,3187.38
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2015Q3,0.0708724,3876.849
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2015Q3,0.0709097,3867.068
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2015Q3,0.078029,4504.367
Industry groups,Administrative and support services,SG01RSC04B01MN2,2015Q3,0.0191326,1105.287
Industry groups,Local Government administration,SG01RSC04B01OO1,2015Q3,0.0047115,289.592
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2015Q3,0.0357092,2134.373
Industry groups,Education and training,SG01RSC04B01PP1,2015Q3,0.0447673,2329.245
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2015Q3,0.0593375,3276.936
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2015Q3,0.0136869,753.899
Industry groups,Other services,SG01RSC04B01RS2,2015Q3,0.0184459,964.082
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2015Q3,0.0841293,4254.388
Industry groups,Agriculture,SG01RSC04B01AA1,2015Q4,0.030119,2390.358
Industry groups,Forestry and logging,SG01RSC04B01AA2,2015Q4,0.0061088,343.157
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2015Q4,0.0084844,481.855
Industry groups,Mining,SG01RSC04B01BB1,2015Q4,0.0093126,825.618
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2015Q4,0.04377,1909.255
